Legend,Quartz,Plagioclase,Orthoclase,Muscovite,Biotite,Chlorite,Apatite,Pyroxene/Amphibole,Garnet,Epidote,Tourmaline,Other Silicates,Zircon,Titanite,Rutile,Ilmenite,Chromite,Fe oxides,Other oxides,Sulfides,Sulfates,Olivene,Other REE Minerals,Carbonates,Clay Minerals,Other Minerals,[Unclassified],Biotite-Ti,Clinochlore,Ankerite+clay
CC-17-1 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotite-Ti,0.48,0.60,0.34,0.26,4.02,9.24,0.37,0.36,0.95,0.83,1.06,0.68,0.00,0.00,0.35,0.46,0.00,7.75,0.00,0.00,0.00,6.23,0.00,0.00,0.20,0.00,0.58,----,5.86,3.04
Clinochlore,0.02,0.03,0.00,0.01,0.01,1.20,0.01,0.00,0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.05,0.24,----,0.00
Ankerite+clay,0.02,0.04,0.02,0.00,0.03,0.00,0.10,0.00,0.06,0.21,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.02,0.16,0.00,----
[Unclassified],4.20,6.14,4.49,3.66,2.63,3.84,5.78,32.45,2.38,3.75,3.22,4.76,16.62,0.00,4.04,2.96,0.00,14.85,4.19,2.21,12.50,6.74,13.76,4.93,4.09,0.00,----,4.01,6.95,2.61
Free particles,7.29,6.69,2.40,1.76,4.66,4.15,3.49,22.06,3.65,4.30,19.31,8.78,1.55,11.11,9.29,11.07,0.00,8.63,26.62,2.94,0.00,7.02,6.22,3.89,19.46,0.00,14.81,11.04,5.73,4.16
Total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00
MN16-04 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,----,34.79,30.41,25.19,29.69,21.38,29.74,21.65,24.88,19.77,36.79,20.27,25.38,16.42,25.55,20.76,0.00,19.03,8.29,0.00,35.61,10.08,24.41,16.27,19.30,0.00,14.78,21.21,16.69,75.33
Plagioclase,43.34,----,49.29,38.16,23.74,21.66,30.81,4.12,24.07,28.53,12.31,21.22,40.42,17.87,19.15,26.10,0.00,16.80,0.65,90.00,21.82,12.23,32.71,9.24,31.92,0.00,21.21,19.93,21.85,0.00
Orthoclase,26.12,30.94,----,17.20,15.31,6.63,13.07,3.22,8.61,9.65,7.52,8.71,10.55,6.19,10.45,10.35,0.00,4.44,13.24,0.00,8.32,1.51,6.67,3.17,11.64,0.00,12.58,7.53,6.19,0.00
Muscovite,3.86,8.33,2.99,----,2.52,2.63,0.88,0.09,3.07,0.76,2.04,0.85,1.86,0.16,2.34,2.07,0.00,0.00,0.00,0.00,1.46,1.02,2.05,0.24,3.89,0.00,3.86,2.41,2.26,0.00
Biotite,6.29,4.68,3.98,4.74,----,19.03,3.92,1.35,4.42,5.91,1.34,7.72,5.04,7.15,6.99,10.32,0.00,14.53,0.00,0.00,6.30,27.26,0.88,0.37,3.33,0.00,2.36,16.31,6.10,0.00
Chlorite,0.24,0.21,0.10,0.19,2.18,----,0.05,0.03,4.08,0.00,0.11,0.31,0.00,1.23,0.49,0.18,0.00,3.57,0.00,0.00,0.17,5.47,0.00,0.00,0.18,0.00,0.12,2.67,6.68,0.00
Apatite,0.36,0.40,0.24,0.05,0.26,0.07,----,0.04,0.46,5.98,0.10,4.13,0.02,0.00,0.39,0.42,0.00,0.00,0.00,0.00,0.26,0.00,1.90,8.68,0.09,0.00,0.21,0.24,0.14,0.00
Pyroxene/Amphibole,0.38,0.14,0.11,0.06,0.27,0.42,0.54,----,1.08,0.48,0.17,0.74,0.05,1.14,0.26,0.37,0.00,0.00,4.40,0.00,0.34,0.00,0.28,1.33,0.04,0.00,11.80,0.91,0.19,0.00
Garnet,0.09,0.15,0.03,0.16,0.22,3.47,0.25,0.04,----,0.00,0.67,0.04,0.00,0.00,0.02,0.02,0.00,1.75,0.00,0.00,0.14,3.95,0.00,0.00,0.06,0.00,0.06,1.60,3.05,7.40
Epidote,0.01,0.03,0.03,0.01,0.04,0.00,0.49,0.01,0.00,----,0.00,0.18,0.00,0.32,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tourmaline,0.11,0.02,0.02,0.03,0.01,0.04,0.08,0.01,0.09,0.00,----,2.60,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.03,0.11,0.00,0.00
Other Silicates,0.04,0.03,0.03,0.01,0.11,0.15,1.22,0.01,0.03,0.25,3.59,----,0.00,0.00,0.05,0.02,0.00,0.00,0.00,0.00,0.31,0.00,2.64,0.00,0.20,0.00,0.10,0.19,0.02,0.00
Zircon,0.11,0.07,0.02,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,----,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.06,0.00,0.00,0.00
Titanite,0.04,0.02,0.01,0.02,0.11,0.29,0.00,0.02,0.00,0.74,0.00,0.00,0.07,----,5.11,1.75,0.00,0.00,4.17,0.00,0.16,0.00,0.09,0.00,0.01,0.00,0.04,0.05,0.02,0.00
Rutile,0.32,0.27,0.22,0.24,0.54,0.74,0.21,0.07,0.08,2.13,0.00,0.10,0.00,26.98,----,12.40,0.00,0.00,0.00,0.00,0.59,0.33,0.58,0.00,0.19,0.00,0.22,0.58,0.62,0.00
Ilmenite,0.28,0.26,0.18,0.31,0.75,0.34,0.74,0.09,0.06,0.00,0.24,0.27,0.00,4.73,10.04,----,0.00,0.00,8.18,0.00,0.07,0.00,1.27,0.00,0.20,0.00,0.14,0.58,0.03,0.00
Chromite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fe oxides,0.00,0.01,0.00,0.00,0.07,0.19,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.18,7.93,0.00,0.00,0.00,0.00,0.04,0.42,0.00,0.00
Other oxides,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,1.27,0.00,0.12,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00
Sulfides,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sulfates,0.18,0.11,0.08,0.04,0.13,0.21,0.03,0.05,0.08,0.00,0.00,0.47,0.00,0.20,0.35,0.05,0.00,2.05,0.00,0.00,----,0.00,0.00,0.00,0.05,0.00,0.41,0.86,0.00,0.00
Olivene,0.00,0.00,0.00,0.00,0.07,0.15,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,3.53,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00
Other REE Minerals,0.01,0.02,0.02,0.03,0.01,0.00,0.07,0.00,0.00,1.43,0.00,1.15,0.00,0.13,0.08,0.30,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.02,0.00,0.03,0.01,0.00,0.00
Carbonates,0.01,0.01,0.01,0.00,0.00,0.00,1.29,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.03,0.00,0.00,0.00
Clay Minerals,4.97,6.23,3.16,5.09,13.04,6.59,3.10,0.77,7.44,6.50,13.82,6.04,2.06,4.24,6.55,4.90,0.00,1.22,0.00,0.00,3.00,1.31,2.93,1.49,----,0.00,3.39,10.48,12.50,0.00
Other Minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00
Biotite-Ti,0.60,0.58,0.32,0.47,3.13,7.72,0.58,0.22,6.25,0.00,1.15,3.08,0.00,0.75,1.42,0.88,0.00,15.84,0.00,0.00,4.74,23.60,0.19,0.00,0.52,0.00,0.52,----,10.74,0.00
Clinochlore,0.08,0.07,0.05,0.12,0.10,2.00,0.40,0.01,2.45,0.00,0.00,0.07,0.00,0.06,0.26,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.08,2.02,----,0.00
Ankerite+clay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,----
[Unclassified],2.55,4.08,4.00,5.29,1.96,1.67,3.46,45.31,3.39,0.00,3.39,8.36,8.19,2.60,2.45,1.90,0.00,3.22,36.85,0.00,9.05,1.67,10.19,6.30,2.59,0.00,----,2.94,2.17,17.27
Free particles,9.99,8.50,4.68,2.55,5.70,4.65,9.02,22.71,8.96,17.87,16.77,13.69,6.38,8.49,7.90,7.04,100.00,14.03,24.21,10.00,7.46,3.64,9.69,52.90,25.23,100.00,27.82,8.63,10.75,0.00
Total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
MN16-05 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,----,28.88,15.82,5.68,19.78,14.46,15.56,54.23,12.77,14.17,7.81,13.88,17.90,11.30,11.79,16.98,17.09,20.44,10.99,0.00,34.38,19.69,17.05,14.56,11.69,0.00,18.17,18.05,12.65,13.36
Plagioclase,64.60,----,69.52,76.99,43.39,44.29,43.27,4.86,48.38,51.27,51.31,43.97,48.21,34.31,29.61,27.89,43.83,29.26,20.48,0.00,49.58,36.40,34.49,48.88,61.10,0.00,44.29,45.60,48.20,31.96
Orthoclase,14.03,31.56,----,7.34,11.47,4.83,7.22,0.77,4.22,6.67,4.05,7.32,7.99,4.61,4.67,4.43,8.56,8.31,1.62,0.00,6.11,6.91,6.86,11.05,6.73,0.00,10.29,7.99,3.94,4.57
Muscovite,0.89,8.10,1.31,----,0.67,0.67,0.42,0.06,0.60,1.49,1.91,0.29,1.22,0.47,0.24,0.35,0.52,0.28,0.98,0.00,0.00,0.84,0.27,0.00,3.40,0.00,1.01,0.51,0.97,0.31
Biotite,2.93,3.52,2.44,0.98,----,4.32,2.95,0.65,1.27,2.75,1.30,3.70,2.73,1.85,1.72,2.45,10.52,4.44,2.41,0.00,0.00,5.07,4.28,1.38,3.18,0.00,3.29,4.80,2.29,2.98
Chlorite,0.77,1.32,0.34,0.31,1.70,----,1.02,0.45,2.61,1.13,1.92,0.50,2.16,1.10,0.80,0.38,0.59,3.51,0.00,0.00,0.00,2.47,1.69,0.00,1.47,0.00,0.85,2.42,3.18,0.48
Apatite,0.45,0.76,0.24,0.17,0.51,0.65,----,0.10,3.01,0.76,0.36,9.16,0.05,1.06,0.34,0.83,0.00,0.67,0.00,0.00,0.00,0.30,2.03,1.75,0.35,0.00,1.07,0.65,0.28,3.47
Pyroxene/Amphibole,2.30,1.51,0.63,0.31,2.99,4.83,2.94,----,2.64,2.08,0.77,2.65,0.92,3.17,2.35,2.61,2.12,3.49,6.55,0.00,0.00,6.49,3.28,1.34,2.00,0.00,5.51,4.39,4.46,3.39
Garnet,0.20,0.59,0.10,0.12,0.13,1.26,0.49,0.03,----,0.73,1.02,0.22,0.05,0.43,0.34,0.21,0.00,0.29,0.00,0.00,0.00,0.36,0.63,1.12,0.34,0.00,0.22,0.41,1.89,1.00
Epidote,2.09,5.87,1.55,2.65,2.45,2.82,4.22,0.37,5.20,----,11.36,3.68,3.67,4.33,2.84,2.32,3.13,5.62,0.93,0.00,0.00,2.54,6.19,1.84,2.05,0.00,3.37,4.10,3.96,8.88
Tourmaline,0.01,0.07,0.01,0.06,0.01,0.07,0.05,0.00,0.11,0.22,----,0.00,0.13,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.00,0.09,0.00,0.02,0.05,0.26,0.00
Other Silicates,0.05,0.11,0.04,0.01,0.14,0.05,1.70,0.02,0.25,0.09,0.00,----,0.03,0.17,0.07,0.09,0.00,0.11,0.00,0.00,0.00,0.03,0.12,0.00,0.06,0.00,0.10,0.07,0.08,0.18
Zircon,0.02,0.03,0.01,0.00,0.01,0.02,0.00,0.00,0.00,0.06,0.08,0.01,----,0.01,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.24,0.00,0.01,0.00,0.03,0.02,0.00,0.00
Titanite,0.41,0.63,0.24,0.16,0.39,1.14,0.98,0.11,1.62,0.92,0.25,1.09,0.23,----,13.47,16.74,0.00,0.61,7.97,0.00,0.00,0.12,3.40,1.75,0.35,0.00,0.96,0.53,1.88,6.36
Rutile,0.16,0.29,0.10,0.03,0.18,0.33,0.28,0.05,0.74,0.37,0.21,0.26,0.00,6.63,----,11.90,0.00,0.95,6.50,0.00,0.00,0.01,5.13,0.26,0.12,0.00,0.41,0.24,0.43,1.08
Ilmenite,0.35,0.39,0.14,0.09,0.53,0.17,0.47,0.09,1.32,0.33,0.26,0.51,0.00,16.47,19.67,----,0.00,1.74,11.36,0.00,0.00,0.18,6.81,2.71,0.26,0.00,0.81,0.45,0.30,9.20
Chromite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fe oxides,0.25,0.18,0.15,0.02,0.36,0.78,0.23,0.38,0.21,0.69,0.00,0.16,1.81,0.13,0.53,0.78,0.00,----,0.00,0.00,0.00,2.50,0.09,0.00,0.29,0.00,0.45,0.45,0.22,0.02
Other oxides,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.09,0.28,0.12,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.00,0.25
Sulfides,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sulfates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Olivene,0.19,0.15,0.07,0.03,0.24,0.39,0.12,0.07,0.13,0.21,0.04,0.05,0.00,0.05,0.04,0.03,0.00,1.45,0.00,0.00,0.00,----,0.00,0.00,0.14,0.00,0.22,0.38,0.04,0.02
Other REE Minerals,0.02,0.02,0.01,0.00,0.03,0.05,0.13,0.00,0.02,0.02,0.04,0.02,0.14,0.11,0.45,0.19,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.02,0.01,0.00,0.00
Carbonates,0.00,0.01,0.01,0.00,0.00,0.00,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.01,0.00,0.00
Clay Minerals,3.38,5.89,2.31,2.15,5.64,5.73,4.65,2.05,4.29,3.58,5.23,5.45,3.15,4.56,3.37,3.34,4.43,1.60,2.44,0.00,9.93,1.81,2.50,3.66,----,0.00,3.42,4.88,7.36,3.71
Other Minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00
Biotite-Ti,3.33,4.58,1.89,0.91,5.91,8.47,5.76,2.18,4.55,6.60,5.30,2.67,5.13,2.92,3.13,2.50,3.13,6.96,6.10,0.00,0.00,9.52,1.07,2.27,3.28,0.00,3.90,----,6.08,3.58
Clinochlore,0.42,0.84,0.17,0.21,0.29,1.71,0.13,0.12,1.89,0.65,5.15,0.47,0.00,0.83,0.50,0.19,2.08,0.36,0.00,0.00,0.00,0.15,0.27,0.00,0.68,0.00,0.22,0.72,----,0.05
Ankerite+clay,0.06,0.06,0.02,0.01,0.08,0.07,0.65,0.02,0.81,0.27,0.00,0.19,0.00,0.64,0.22,1.12,0.00,0.01,1.65,0.00,0.00,0.01,0.00,0.00,0.03,0.00,0.12,0.08,0.01,----
[Unclassified],2.81,4.59,2.82,1.72,2.97,2.72,6.68,30.00,3.27,4.90,1.57,3.51,4.47,4.70,3.46,4.47,4.02,9.33,13.91,0.00,0.00,4.48,3.41,4.15,2.27,0.00,----,3.00,1.45,5.08
Free particles,0.26,0.04,0.05,0.04,0.12,0.18,0.06,3.37,0.07,0.05,0.05,0.25,0.00,0.03,0.10,0.01,0.00,0.24,6.10,0.00,0.00,0.11,0.12,3.30,0.10,100.00,1.19,0.19,0.09,0.06
Total,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
MN16-06 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,----,19.41,18.14,17.24,20.48,21.00,16.41,28.79,12.61,14.23,17.07,13.78,31.28,8.09,16.43,17.98,27.27,22.30,8.24,6.88,0.00,25.34,20.50,21.65,19.15,51.14,21.92,20.45,16.98,16.56
Plagioclase,23.88,----,37.53,40.67,15.41,22.97,27.90,14.97,29.34,16.35,21.71,25.97,19.63,9.93,13.86,9.04,0.00,14.91,6.48,24.91,100.00,19.43,11.39,22.33,36.89,7.93,23.93,18.72,26.57,16.29
Orthoclase,13.22,19.53,----,15.47,11.49,9.13,8.00,5.38,6.15,7.93,7.93,9.45,8.74,3.67,8.32,4.71,45.45,7.28,3.30,19.50,0.00,7.16,5.61,9.40,9.12,0.00,9.66,8.35,9.16,4.85
Muscovite,1.98,6.85,2.37,----,1.56,1.02,1.10,0.57,1.07,1.17,1.21,1.21,0.87,0.39,1.42,0.27,0.00,0.71,0.78,0.77,0.00,0.63,0.92,0.79,3.84,0.00,1.15,1.03,2.02,0.44
Biotite,1.47,1.24,1.80,1.49,----,2.08,1.41,1.71,0.72,1.14,1.70,0.69,0.62,0.90,1.28,0.83,0.00,3.24,0.82,0.00,0.00,2.80,3.93,1.53,1.29,0.00,1.10,3.54,3.11,0.77
Chlorite,1.63,1.76,1.12,0.77,2.41,----,2.04,2.74,1.98,0.83,2.94,0.65,0.86,0.83,2.01,3.51,0.00,11.62,0.89,0.00,0.00,6.05,0.55,0.58,1.83,3.61,1.04,3.97,4.96,1.06
Apatite,0.29,0.49,0.23,0.15,0.55,0.45,----,0.36,0.33,0.24,0.26,0.29,1.71,0.79,0.55,0.59,0.00,1.37,0.38,0.00,0.00,0.29,0.81,0.22,0.25,0.00,0.20,0.80,0.51,0.15
Pyroxene/Amphibole,0.90,0.28,0.18,0.09,0.51,0.83,0.58,----,0.41,0.26,0.17,0.20,0.18,0.62,0.56,0.24,0.00,1.06,0.47,0.00,0.00,1.73,0.91,0.42,0.17,0.00,0.44,0.65,0.56,0.49
Garnet,1.67,3.86,1.50,1.21,1.06,2.50,2.09,1.75,----,2.69,2.93,3.48,1.51,1.11,0.98,0.96,0.00,2.25,1.34,0.00,0.00,1.84,0.14,3.91,1.70,0.00,2.91,2.11,2.93,2.40
Epidote,1.80,1.61,1.59,1.23,1.48,0.94,1.72,1.37,2.02,----,3.43,2.96,0.91,1.15,1.37,0.56,0.00,0.50,1.87,5.15,0.00,0.64,4.90,3.53,1.35,0.00,3.12,2.08,0.87,5.67
Tourmaline,1.23,1.25,0.83,0.70,1.21,2.19,1.09,0.53,1.52,1.84,----,2.21,0.65,0.66,1.01,0.37,0.00,0.94,0.67,0.00,0.00,0.68,1.22,0.93,2.38,12.48,1.16,1.47,0.92,0.59
